comm,loans,bad,bad_rate,members
1100,1,0,0.0,3
1099,1,0,0.0,3
1098,2,0,0.0,4
1097,3,0,0.0,7
1096,1,0,0.0,3
1095,1,0,0.0,3
1083,2,0,0.0,6
1093,4,0,0.0,12
1092,4,0,0.0,10
1091,1,0,0.0,3
1090,1,0,0.0,3
1089,1,0,0.0,3
1088,1,0,0.0,3
1087,1,0,0.0,3
1086,1,0,0.0,4
1085,1,0,0.0,3
1084,1,0,0.0,3
1094,1,0,0.0,3
1041,12,0,0.0,29
1040,3,0,0.0,8
1039,1,0,0.0,3
1038,2,0,0.0,5
1036,2,0,0.0,6
1034,1,0,0.0,3
1033,91,0,0.0,171
1032,51,0,0.0,96
1031,1,0,0.0,3
1063,1,0,0.0,3
1029,2,0,0.0,5
1028,5,0,0.0,9
1027,1,0,0.0,3
1026,3,0,0.0,9
1025,1,0,0.0,2
1024,1,0,0.0,3
1023,90,0,0.0,192
1022,1,0,0.0,2
1021,1,0,0.0,3
1030,12,0,0.0,26
1062,1,0,0.0,3
1061,34,0,0.0,64
1060,1,0,0.0,3
1059,7,0,0.0,16
1058,10,0,0.0,24
1057,1,0,0.0,3
1056,24,0,0.0,45
1055,3,0,0.0,7
1054,4,0,0.0,7
1042,1,0,0.0,4
1052,1,0,0.0,4
1051,1,0,0.0,3
721,1,0,0.0,3
1049,2,0,0.0,6
1048,4,0,0.0,11
1047,9,0,0.0,22
1046,2,0,0.0,6
1045,1,0,0.0,4
1044,1,0,0.0,4
1043,2,0,0.0,6
1053,1,0,0.0,3
1167,2,0,0.0,6
1166,7,0,0.0,11
1165,6,0,0.0,16
1164,1,0,0.0,3
1163,2,0,0.0,5
1162,1,0,0.0,3
1160,2,0,0.0,5
1159,15,0,0.0,28
1158,2,0,0.0,6
1104,4,0,0.0,9
1156,2,0,0.0,5
1155,1,0,0.0,3
1154,1,0,0.0,3
1153,2,0,0.0,6
1152,4,0,0.0,10
1151,11,0,0.0,22
1150,1,0,0.0,3
1149,1,0,0.0,3
1148,2,0,0.0,7
1157,1,0,0.0,4
1190,1,0,0.0,4
1189,1,0,0.0,3
1188,3,0,0.0,7
1187,1,0,0.0,4
1186,11,0,0.0,17
1185,1,0,0.0,3
1183,1,0,0.0,3
1182,1,0,0.0,3
1181,1,0,0.0,3
1168,1,0,0.0,3
1179,7,0,0.0,17
1178,3,0,0.0,8
1177,1,0,0.0,3
1176,3,0,0.0,8
1175,18,0,0.0,36
1173,2,0,0.0,6
1172,1,0,0.0,4
1171,2,0,0.0,4
1170,1,0,0.0,4
1169,2,0,0.0,7
1180,4,0,0.0,8
1124,2,0,0.0,6
1123,1,0,0.0,3
1122,1,0,0.0,4
1121,1,0,0.0,3
1120,1,0,0.0,4
1119,12,0,0.0,20
1118,2,0,0.0,4
1117,4,0,0.0,8
1116,1,0,0.0,3
1147,1,0,0.0,4
1113,2,0,0.0,4
1112,2,0,0.0,6
1111,19,0,0.0,32
1110,1,0,0.0,3
1109,1,0,0.0,3
1108,1,0,0.0,3
1107,2,0,0.0,4
1106,1,0,0.0,3
1105,3,0,0.0,7
1114,1,0,0.0,3
1146,2,0,0.0,4
1145,2,0,0.0,6
1144,1,0,0.0,3
1143,3,0,0.0,9
1142,1,0,0.0,4
1141,4,0,0.0,7
1140,1,0,0.0,4
1139,1,0,0.0,3
1138,4,0,0.0,10
1125,1,0,0.0,3
1136,1,0,0.0,3
1135,2,0,0.0,6
1133,1,0,0.0,3
1132,1,0,0.0,3
1131,1,0,0.0,4
1130,1,0,0.0,4
1129,3,0,0.0,7
1128,2,0,0.0,5
1127,2,0,0.0,6
1126,1,0,0.0,3
1137,5,0,0.0,11
255,11,0,0.0,18
254,9,0,0.0,15
253,1,0,0.0,4
252,5,0,0.0,10
251,8,0,0.0,15
250,4,0,0.0,12
249,1,0,0.0,3
248,1,0,0.0,3
247,57,0,0.0,109
682,2,0,0.0,4
244,1,0,0.0,4
241,38,0,0.0,75
240,1,0,0.0,3
239,2,0,0.0,5
238,1,0,0.0,3
237,4,0,0.0,8
235,1,0,0.0,4
234,5,0,0.0,12
232,5,0,0.0,12
245,3,0,0.0,7
278,2,0,0.0,5
